Starbucks Espresso Beverages
, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Caff? Americano, , , , , 
Caff? Latte, 190, 7, 19, 0, 13
Caff? Mocha, 290, 8, 42, 4, 13
Cappuccino, 120, 4, 12, 0, 8
Caramel Macchiato, 250, 7, 35, 0, 10
Cinnamon Dolce Latte, 270, 7, 41, 0, 11
Espresso, , , , , 
Espresso Con Panna, , , , , 
Espresso Macchiato , , , , , 
Flat White, 180, 7, 18, 0, 12
Iced Caff? Americano, , , , , 
Iced Caff? Latte , 130, 4.5, 13, 0, 8
Iced Caff? Mocha, 230, 6, 36, 4, 9
Iced Caramel Macchiato, 250, 7, 37, 0, 10
Iced Cinnamon Dolce Latte, 210, 4, 36, 0, 8
Iced Cold Foam Cappuccino, , , , , 
Iced Latte Macchiato, 130, 4.5, 13, 0, 8
Iced Skinny Cinnamon Dolce Latte, , , , , 
Iced Skinny Mocha, , , , , 
Iced Starbucks? Blonde Cold Foam Cappuccino , , , , , 
Iced Vanilla Latte, 190, 4, 30, 0, 7
Iced White Chocolate Mocha, 300, 8, 47, 0, 10
Latte Macchiato, 190, 7, 19, 0, 12
Skinny Mocha, , , , , 
Starbucks Doubleshot? on Ice Beverage, 45, 1, 5, 0, 3
Starbucks? Blonde Cappuccino, 120, 4, 12, 0, 8
Vanilla Latte, 250, 6, 37, 0, 12
White Chocolate Mocha , 360, 11, 53, 0, 14

